Id,Name,Age,Country,Score
1,Name_1,30,Canada,7954
2,Name_2,59,India,3621
3,Name_3,57,Germany,9229
4,Name_4,60,Canada,4127
5,Name_5,21,Canada,6734
6,Name_6,46,India,8813
7,Name_7,33,Canada,2147
8,Name_8,44,India,1139
9,Name_9,32,USA,1389
10,Name_10,20,Canada,1211
11,Name_11,39,UK,1914
12,Name_12,57,USA,4558
13,Name_13,40,USA,3431
14,Name_14,48,Germany,9135
15,Name_15,30,USA,5212
16,Name_16,54,Germany,5953
17,Name_17,31,UK,5195
18,Name_18,33,Canada,4829
19,Name_19,43,India,2941
20,Name_20,59,Canada,8424
21,Name_21,28,Canada,1151
22,Name_22,37,UK,3202
23,Name_23,36,Germany,3601
24,Name_24,40,India,8408
25,Name_25,56,India,2799
26,Name_26,27,India,3811
27,Name_27,31,Canada,6538
28,Name_28,49,UK,1202
29,Name_29,44,Canada,1277
30,Name_30,27,Germany,1222
31,Name_31,40,USA,4427
32,Name_32,35,USA,3964
33,Name_33,41,Canada,7692
34,Name_34,46,USA,9570
35,Name_35,31,UK,3328
36,Name_36,58,Germany,8985
37,Name_37,39,Germany,8242
38,Name_38,45,Germany,1925
39,Name_39,57,USA,6139
40,Name_40,48,Canada,6357
41,Name_41,42,Germany,9752
42,Name_42,47,India,7911
43,Name_43,47,Germany,1386
44,Name_44,31,Germany,5009
45,Name_45,22,Germany,1472
46,Name_46,42,India,7937
47,Name_47,37,USA,1841
48,Name_48,25,India,4367
49,Name_49,38,India,9085
50,Name_50,34,UK,9744
51,Name_51,54,Germany,3138
52,Name_52,59,Germany,2687
53,Name_53,36,UK,3872
54,Name_54,31,USA,3102
55,Name_55,43,USA,2360
56,Name_56,53,Germany,9423
57,Name_57,20,UK,3653
58,Name_58,21,UK,1999
59,Name_59,56,USA,8096
60,Name_60,53,Canada,5832
61,Name_61,46,Germany,3265
62,Name_62,49,India,4555
63,Name_63,38,Germany,5456
64,Name_64,38,USA,6986
65,Name_65,51,UK,1414
66,Name_66,32,Canada,2846
67,Name_67,21,USA,7972
68,Name_68,60,USA,2801
69,Name_69,40,UK,6457
70,Name_70,54,UK,8509
71,Name_71,39,USA,4986
72,Name_72,31,India,8971
73,Name_73,33,Germany,6809
74,Name_74,21,Germany,4435
75,Name_75,51,Canada,2409
76,Name_76,50,Canada,7079
77,Name_77,30,USA,1733
78,Name_78,25,UK,5593
79,Name_79,33,India,4712
80,Name_80,57,USA,2278
81,Name_81,49,Canada,2015
82,Name_82,50,India,1154
83,Name_83,56,USA,8911
84,Name_84,42,UK,3334
85,Name_85,49,UK,4570
86,Name_86,21,India,9153
87,Name_87,39,India,7670
88,Name_88,27,Germany,1521
89,Name_89,24,Germany,3557
90,Name_90,59,USA,6916
91,Name_91,24,Germany,7463
92,Name_92,31,Canada,6417
93,Name_93,30,USA,2004
94,Name_94,35,USA,6838
95,Name_95,47,Germany,5236
96,Name_96,48,USA,4642
97,Name_97,58,Canada,2464
98,Name_98,50,India,9644
99,Name_99,28,India,3149
100,Name_100,36,Germany,2122
101,Name_101,52,USA,1321
102,Name_102,29,India,1246
103,Name_103,50,Canada,7844
104,Name_104,44,UK,8090
105,Name_105,41,Canada,5882
106,Name_106,45,India,9317
107,Name_107,40,India,6450
108,Name_108,25,India,1166
109,Name_109,38,Germany,3736
110,Name_110,35,USA,7735
111,Name_111,40,Germany,7887
112,Name_112,38,Canada,2039
113,Name_113,20,UK,5017
114,Name_114,39,UK,8890
115,Name_115,58,Germany,2402
116,Name_116,46,UK,4295
117,Name_117,27,UK,5460
118,Name_118,28,Germany,6870
119,Name_119,33,Canada,9339
120,Name_120,25,Germany,1527
121,Name_121,23,UK,6095
122,Name_122,37,India,3826
123,Name_123,37,USA,6773
124,Name_124,38,USA,5559
125,Name_125,60,USA,4378
126,Name_126,24,UK,1630
127,Name_127,33,Canada,7736
128,Name_128,59,USA,5404
129,Name_129,34,Canada,5298
130,Name_130,32,Canada,2948
131,Name_131,50,Germany,1270
132,Name_132,54,USA,3860
133,Name_133,57,Canada,3658
134,Name_134,27,USA,4229
135,Name_135,49,USA,2144
136,Name_136,33,UK,7234
137,Name_137,51,UK,8884
138,Name_138,37,Canada,4972
139,Name_139,28,USA,5875
140,Name_140,37,USA,6976
141,Name_141,29,Canada,8179
142,Name_142,30,UK,4768
143,Name_143,49,Canada,7496
144,Name_144,48,Germany,6862
145,Name_145,25,UK,6947
146,Name_146,35,USA,5653
147,Name_147,56,Canada,1975
148,Name_148,49,Germany,4826
149,Name_149,24,India,7033
150,Name_150,41,Canada,9984
151,Name_151,38,USA,1376
152,Name_152,21,India,1986
153,Name_153,39,USA,5137
154,Name_154,25,UK,9270
155,Name_155,34,Canada,2179
156,Name_156,56,India,6939
157,Name_157,31,Canada,6918
158,Name_158,25,Germany,6543
159,Name_159,45,Canada,4192
160,Name_160,44,UK,8447
161,Name_161,57,UK,9395
162,Name_162,37,India,4681
163,Name_163,51,UK,8466
164,Name_164,59,UK,3847
165,Name_165,34,Germany,7127
166,Name_166,26,USA,3738
167,Name_167,42,UK,8745
168,Name_168,48,UK,9353
169,Name_169,34,Canada,8167
170,Name_170,28,India,7294
171,Name_171,46,UK,1802
172,Name_172,46,UK,4051
173,Name_173,56,USA,1503
174,Name_174,49,USA,2204
175,Name_175,35,USA,4132
176,Name_176,46,UK,5524
177,Name_177,20,UK,5852
178,Name_178,40,UK,2681
179,Name_179,34,Canada,9034
180,Name_180,33,Germany,1412
181,Name_181,34,India,6299
182,Name_182,58,Canada,3853
183,Name_183,43,Canada,3530
184,Name_184,44,UK,4692
185,Name_185,57,Germany,7405
186,Name_186,43,Germany,6825
187,Name_187,45,UK,3363
188,Name_188,27,India,2733
189,Name_189,39,India,1038
190,Name_190,36,Canada,7310
191,Name_191,50,Germany,7314
192,Name_192,45,USA,5953
193,Name_193,56,USA,4207
194,Name_194,34,India,6313
195,Name_195,26,India,7033
196,Name_196,20,Canada,3702
197,Name_197,22,USA,5230
198,Name_198,50,UK,2368
199,Name_199,48,Canada,9232
200,Name_200,36,Germany,8752
201,Name_201,59,Germany,6265
202,Name_202,35,USA,4719
203,Name_203,57,Germany,3649
204,Name_204,50,India,2490
205,Name_205,23,USA,1062
206,Name_206,54,Canada,8496
207,Name_207,27,Canada,4452
208,Name_208,31,Canada,9463
209,Name_209,50,USA,3215
210,Name_210,51,UK,1840
211,Name_211,49,USA,3600
212,Name_212,55,India,6315
213,Name_213,21,India,9899
214,Name_214,42,UK,4386
215,Name_215,29,Canada,3746
216,Name_216,23,UK,4757
217,Name_217,20,USA,1616
218,Name_218,54,USA,1889
219,Name_219,52,USA,4977
220,Name_220,59,USA,1564
221,Name_221,48,Germany,5053
222,Name_222,34,Germany,2829
223,Name_223,29,UK,3912
224,Name_224,46,UK,7466
225,Name_225,26,Germany,6024
226,Name_226,36,Germany,2196
227,Name_227,33,Germany,6488
228,Name_228,24,India,1666
229,Name_229,33,India,8268
230,Name_230,60,India,3232
231,Name_231,57,USA,6879
232,Name_232,32,Canada,7769
233,Name_233,53,India,5274
234,Name_234,21,Canada,5209
235,Name_235,45,USA,5322
236,Name_236,43,USA,4939
237,Name_237,31,USA,2477
238,Name_238,57,Canada,1757
239,Name_239,58,Germany,8097
240,Name_240,24,UK,6410
241,Name_241,21,India,9828
242,Name_242,25,India,4060
243,Name_243,32,Canada,8493
244,Name_244,41,India,7142
245,Name_245,24,USA,5235
246,Name_246,34,India,2051
247,Name_247,59,Canada,8977
248,Name_248,42,USA,7722
249,Name_249,34,UK,4777
250,Name_250,55,UK,8708
251,Name_251,54,UK,9843
252,Name_252,38,UK,9856
253,Name_253,48,Canada,9859
254,Name_254,31,Germany,5417
255,Name_255,56,Canada,8805
256,Name_256,33,UK,4379
257,Name_257,58,UK,1108
258,Name_258,27,USA,3551
259,Name_259,55,USA,1764
260,Name_260,42,Canada,1424
261,Name_261,50,UK,9580
262,Name_262,41,Canada,8763
263,Name_263,45,Canada,7512
264,Name_264,48,India,3162
265,Name_265,58,Canada,9031
266,Name_266,30,USA,8021
267,Name_267,21,UK,4708
268,Name_268,20,Canada,3608
269,Name_269,58,India,8306
270,Name_270,23,Germany,9184
271,Name_271,29,India,7033
272,Name_272,60,Canada,6940
273,Name_273,59,Germany,1770
274,Name_274,27,Germany,2300
275,Name_275,58,Germany,8911
276,Name_276,21,Canada,9534
277,Name_277,39,Canada,5661
278,Name_278,40,UK,7669
279,Name_279,36,India,7292
280,Name_280,47,Canada,4009
281,Name_281,40,Canada,7933
282,Name_282,57,India,9770
283,Name_283,51,Germany,4304
284,Name_284,39,USA,8452
285,Name_285,20,UK,9495
286,Name_286,54,UK,7041
287,Name_287,43,Canada,3179
288,Name_288,60,USA,1877
289,Name_289,40,USA,1806
290,Name_290,29,UK,1707
291,Name_291,40,UK,2546
292,Name_292,49,USA,1887
293,Name_293,58,India,2938
294,Name_294,57,India,3405
295,Name_295,49,UK,7904
296,Name_296,34,Germany,9475
297,Name_297,32,UK,8188
298,Name_298,26,India,7134
299,Name_299,55,USA,1246
300,Name_300,27,USA,7417
301,Name_301,32,Germany,7896
302,Name_302,59,India,2735
303,Name_303,31,Canada,8863
304,Name_304,20,Canada,2781
305,Name_305,42,USA,1076
306,Name_306,49,India,9858
307,Name_307,27,Canada,6029
308,Name_308,26,UK,4863
309,Name_309,22,India,5887
310,Name_310,30,USA,8081
311,Name_311,50,India,8695
312,Name_312,37,Germany,8105
313,Name_313,23,India,8681
314,Name_314,31,India,9902
315,Name_315,27,Germany,5254
316,Name_316,25,USA,5702
317,Name_317,24,UK,5355
318,Name_318,33,UK,7451
319,Name_319,49,Germany,2577
320,Name_320,27,Canada,6320
321,Name_321,57,UK,8971
322,Name_322,48,USA,7134
323,Name_323,55,Germany,9669
324,Name_324,35,Canada,6035
325,Name_325,42,India,1217
326,Name_326,47,India,8102
327,Name_327,46,Germany,5982
328,Name_328,50,Canada,1645
329,Name_329,30,India,8983
330,Name_330,42,UK,6179
331,Name_331,50,USA,5259
332,Name_332,44,India,2457
333,Name_333,40,USA,4431
334,Name_334,52,Canada,9404
335,Name_335,37,Germany,8982
336,Name_336,31,Germany,1417
337,Name_337,50,UK,2584
338,Name_338,21,USA,5933
339,Name_339,28,UK,7631
340,Name_340,31,Canada,8094
341,Name_341,23,Canada,1107
342,Name_342,47,India,3844
343,Name_343,27,UK,1209
344,Name_344,50,USA,5515
345,Name_345,54,USA,4365
346,Name_346,29,USA,9499
347,Name_347,31,Canada,3175
348,Name_348,32,UK,2348
349,Name_349,59,USA,9166
350,Name_350,54,Germany,5144
351,Name_351,39,India,5491
352,Name_352,31,UK,2688
353,Name_353,49,India,3750
354,Name_354,41,Canada,7676
355,Name_355,53,Canada,5362
356,Name_356,25,Germany,6104
357,Name_357,25,UK,2913
358,Name_358,55,Canada,5919
359,Name_359,24,India,6241
360,Name_360,57,UK,3516
361,Name_361,32,India,8906
362,Name_362,26,Germany,2648
363,Name_363,37,Germany,2990
364,Name_364,55,Germany,7598
365,Name_365,50,USA,4785
366,Name_366,58,UK,2387
367,Name_367,51,Canada,1436
368,Name_368,46,USA,6462
369,Name_369,40,Germany,6662
370,Name_370,49,Canada,4642
371,Name_371,41,USA,5457
372,Name_372,27,India,3138
373,Name_373,42,Germany,7617
374,Name_374,59,India,6404
375,Name_375,51,Canada,1195
376,Name_376,33,Canada,1119
377,Name_377,41,Germany,7775
378,Name_378,49,USA,2066
379,Name_379,38,Germany,5277
380,Name_380,22,Germany,5353
381,Name_381,54,USA,8183
382,Name_382,56,UK,8224
383,Name_383,32,Canada,8090
384,Name_384,21,India,8988
385,Name_385,46,India,5248
386,Name_386,57,India,4615
387,Name_387,56,India,9552
388,Name_388,39,Germany,5621
389,Name_389,60,USA,2680
390,Name_390,25,Germany,9521
391,Name_391,51,USA,1657
392,Name_392,47,UK,2210
393,Name_393,21,India,1523
394,Name_394,34,UK,3993
395,Name_395,55,Canada,9365
396,Name_396,38,India,5292
397,Name_397,40,Canada,5840
398,Name_398,53,Germany,9595
399,Name_399,60,USA,5486
400,Name_400,51,India,6728
401,Name_401,51,USA,8588
402,Name_402,54,Germany,5235
